본문,질문,선지1,선지2,선지3,선지4,정답
妹は毎日七時に起きます。でも今日は八時に起きました。,妹は今日、いつ起きましたか。,六時,七時,八時,十時,八時
佐藤さんは一昨日にスーパーでケーキを買いました。それはプレゼントにするためです。,佐藤さんは何を買いましたか。,雑誌,果物,ケーキ,パン,ケーキ
佐藤さんは昨日にスーパーで林檎を買いました。それはプレゼントにするためです。,佐藤さんは何を買いましたか。,雑誌,パン,果物,ケーキ,果物
佐藤さんは金曜日にスーパーで林檎を買いました。それは晩御飯のためです。,佐藤さんは何を買いましたか。,パン,雑誌,果物,ケーキ,果物
妹は毎日五時に起きます。でも今日は八時に起きました。,妹は今日、いつ起きましたか。,六時,八時,九時,十時,八時
田中さんは今晩料理をするつもりです。楽しみです。,田中さんは今晩何をしますか。,勉強します,寝ます,料理をします,仕事をします,料理をします
私は昨日、友達と映画館へ行きました。楽しかったです。,私は昨日どこへ行きましたか。,レストラン,家,病院,映画館,映画館
妹は毎日五時に起きます。でも今日は十時に起きました。,妹は今日、いつ起きましたか。,八時,六時,九時,十時,十時
私は昨日、先生と公園へ行きました。楽しかったです。,私は昨日どこへ行きましたか。,学校,病院,家,公園,公園
佐藤さんは一昨日にスーパーで肉を買いました。それはプレゼントにするためです。,佐藤さんは何を買いましたか。,果物,雑誌,肉,パン,肉
今日は暑いです。だから、私はアイスティーを飲みました。,今日、何を飲みましたか。,牛乳,水,お茶,アイスティー,アイスティー
佐藤さんは昨日にスーパーで林檎を買いました。それはプレゼントにするためです。,佐藤さんは何を買いましたか。,雑誌,果物,パン,ケーキ,果物
今日は暑いです。だから、私はコーヒーを飲みました。,今日、何を飲みましたか。,アイスティー,お茶,水,コーヒー,コーヒー
佐藤さんは金曜日にスーパーでケーキを買いました。それはプレゼントにするためです。,佐藤さんは何を買いましたか。,果物,雑誌,パン,ケーキ,ケーキ
田中さんは今晩料理をするつもりです。楽しみです。,田中さんは今晩何をしますか。,勉強します,仕事をします,料理をします,寝ます,料理をします
田中さんは今晩本を読むつもりです。楽しみです。,田中さんは今晩何をしますか。,寝ます,本を読む,仕事をします,勉強します,本を読む
佐藤さんは金曜日にスーパーで林檎を買いました。それはプレゼントにするためです。,佐藤さんは何を買いましたか。,果物,パン,ケーキ,雑誌,果物
今日は暑いです。だから、私はコーヒーを飲みました。,今日、何を飲みましたか。,アイスティー,水,お茶,コーヒー,コーヒー
佐藤さんは昨日にスーパーで林檎を買いました。それは晩御飯のためです。,佐藤さんは何を買いましたか。,ケーキ,果物,雑誌,パン,果物
田中さんは今晩テレビを見るつもりです。楽しみです。,田中さんは今晩何をしますか。,仕事をします,寝ます,テレビを見ます,勉強します,テレビを見ます
妹は毎日七時に起きます。でも今日は八時に起きました。,妹は今日、いつ起きましたか。,六時,七時,八時,十時,八時
今日は暑いです。だから、私はアイスティーを飲みました。,今日、何を飲みましたか。,お茶,アイスティー,水,牛乳,アイスティー
妹は毎日七時に起きます。でも今日は十時に起きました。,妹は今日、いつ起きましたか。,八時,六時,十時,七時,十時
佐藤さんは昨日にスーパーでケーキを買いました。それは晩御飯のためです。,佐藤さんは何を買いましたか。,パン,果物,ケーキ,雑誌,ケーキ
佐藤さんは昨日にスーパーでケーキを買いました。それはプレゼントにするためです。,佐藤さんは何を買いましたか。,果物,パン,雑誌,ケーキ,ケーキ
田中さんは今晩テレビを見るつもりです。楽しみです。,田中さんは今晩何をしますか。,テレビを見ます,寝ます,勉強します,仕事をします,テレビを見ます
私は昨日、先生と映画館へ行きました。楽しかったです。,私は昨日どこへ行きましたか。,病院,レストラン,家,映画館,映画館
田中さんは今晩料理をするつもりです。楽しみです。,田中さんは今晩何をしますか。,料理をします,寝ます,仕事をします,勉強します,料理をします
田中さんは今晩本を読むつもりです。楽しみです。,田中さんは今晩何をしますか。,寝ます,勉強します,本を読む,仕事をします,本を読む
妹は毎日六時に起きます。でも今日は八時に起きました。,妹は今日、いつ起きましたか。,十時,六時,八時,九時,八時
私は昨日、家族と映画館へ行きました。楽しかったです。,私は昨日どこへ行きましたか。,家,学校,レストラン,映画館,映画館
私は昨日、家族と映画館へ行きました。楽しかったです。,私は昨日どこへ行きましたか。,学校,レストラン,病院,映画館,映画館
今日は暑いです。だから、私はアイスティーを飲みました。,今日、何を飲みましたか。,牛乳,お茶,水,アイスティー,アイスティー
佐藤さんは一昨日にスーパーで肉を買いました。それはプレゼントにするためです。,佐藤さんは何を買いましたか。,雑誌,肉,パン,果物,肉
今日は暑いです。だから、私はジュースを飲みました。,今日、何を飲みましたか。,アイスティー,水,お茶,ジュース,ジュース
今日は暑いです。だから、私はコーヒーを飲みました。,今日、何を飲みましたか。,牛乳,水,お茶,コーヒー,コーヒー
佐藤さんは昨日にスーパーで肉を買いました。それはプレゼントにするためです。,佐藤さんは何を買いましたか。,雑誌,肉,パン,果物,肉
私は昨日、先生と映画館へ行きました。楽しかったです。,私は昨日どこへ行きましたか。,レストラン,病院,学校,映画館,映画館
私は昨日、先生と映画館へ行きました。楽しかったです。,私は昨日どこへ行きましたか。,レストラン,病院,家,映画館,映画館
妹は毎日五時に起きます。でも今日は九時に起きました。,妹は今日、いつ起きましたか。,六時,八時,九時,十時,九時
私は昨日、先生と公園へ行きました。楽しかったです。,私は昨日どこへ行きましたか。,学校,家,レストラン,公園,公園
佐藤さんは昨日にスーパーでケーキを買いました。それはプレゼントにするためです。,佐藤さんは何を買いましたか。,雑誌,パン,果物,ケーキ,ケーキ
妹は毎日七時に起きます。でも今日は九時に起きました。,妹は今日、いつ起きましたか。,十時,六時,九時,八時,九時
田中さんは今晩テレビを見るつもりです。楽しみです。,田中さんは今晩何をしますか。,勉強します,テレビを見ます,寝ます,仕事をします,テレビを見ます
私は昨日、友達と公園へ行きました。楽しかったです。,私は昨日どこへ行きましたか。,家,学校,レストラン,公園,公園
妹は毎日六時に起きます。でも今日は十時に起きました。,妹は今日、いつ起きましたか。,六時,八時,九時,十時,十時
今日は暑いです。だから、私はコーヒーを飲みました。,今日、何を飲みましたか。,お茶,牛乳,アイスティー,コーヒー,コーヒー
佐藤さんは一昨日にスーパーで肉を買いました。それは晩御飯のためです。,佐藤さんは何を買いましたか。,肉,雑誌,果物,パン,肉
今日は暑いです。だから、私はジュースを飲みました。,今日、何を飲みましたか。,牛乳,お茶,水,ジュース,ジュース
佐藤さんは一昨日にスーパーで肉を買いました。それはプレゼントにするためです。,佐藤さんは何を買いましたか。,肉,パン,雑誌,果物,肉
山田さんは毎朝七時ごろ散歩します。でも今日は少し遅く出かけました。,山田さんは今日はどうしましたか。,早く出ました,遅く出ました,出かけませんでした,忘れました,遅く出ました
私は先週、友達と図書館へ行きました。静かでよかったです。,私はどこへ行きましたか。,レストラン,図書館,公園,家,図書館
田中さんは昨日パン屋でサンドイッチを買いました。昼ご飯に食べます。,田中さんは何を買いましたか。,ケーキ,サンドイッチ,果物,雑誌,サンドイッチ
今日は寒いので、私はホットミルクを飲みました。,私は今日何を飲みましたか。,水,ホットミルク,紅茶,コーヒー,ホットミルク
兄は毎晩九時に寝ます。でも昨日は遅く寝ました。,兄は昨日どうしましたか。,早く寝ました,遅く寝ました,寝ませんでした,忘れました,遅く寝ました
私は昨日、姉と動物園へ行きました。楽しかったです。,私はどこへ行きましたか。,学校,動物園,映画館,家,動物園
小林さんは今日、駅前のカフェでケーキを食べました。,小林さんはどこでケーキを食べましたか。,家,学校,カフェ,公園,カフェ
今日は雨です。だから、私はバスで学校へ行きました。,私はどうやって行きましたか。,歩いて,車で,バスで,自転車で,バスで
私はおととい、母とデパートで帽子を買いました。,私は何を買いましたか。,靴,帽子,かばん,雑誌,帽子
山本さんは今晩友達とゲームをするつもりです。,山本さんは今晩何をしますか。,寝ます,ゲームをします,料理をします,掃除をします,ゲームをします
妹は毎朝七時半に朝ご飯を食べます。でも今日は七時に食べました。,妹は今日はいつ食べましたか。,七時半,六時,七時,八時,七時
今日は風が強いです。だから、私は温かいお茶を飲みました。,私は何を飲みましたか。,牛乳,温かいお茶,水,ジュース,温かいお茶
私は昨日コンビニでノートを買いました。学校で使います。,私は何を買いましたか。,本,ノート,パン,鉛筆,ノート
中村さんは先週の水曜日に友達と海へ行きました。,中村さんはいつ海へ行きましたか。,火曜日,水曜日,金曜日,日曜日,水曜日
姉は今晩映画を見るつもりです。,姉は今晩何をしますか。,勉強します,料理をします,映画を見ます,寝ます,映画を見ます
私は昨日、駅のカフェでサラダを食べました。,私はどこでサラダを食べましたか。,家,学校,カフェ,公園,カフェ
今日は寒いです。だから、私はスープを飲みました。,私は今日何を飲みましたか。,お茶,スープ,コーヒー,水,スープ
兄はおとといスーパーで魚を買いました。晩ご飯のためです。,兄は何を買いましたか。,肉,魚,ケーキ,果物,魚
私は昨日、友達と駅で待ち合わせしました。,私はどこで友達を待ちましたか。,家,公園,駅,学校,駅
田中さんは毎日六時に起きます。でも今日は六時半に起きました。,田中さんは今日はいつ起きましたか。,六時,七時,六時半,八時,六時半
今日は涼しいです。だから、私はココアを飲みました。,私は何を飲みましたか。,水,ココア,牛乳,紅茶,ココア
私は先週の日曜日に母と花屋へ行きました。,私はどこへ行きましたか。,映画館,花屋,家,学校,花屋
姉は昨日パン屋でクロワッサンを買いました。,姉は何を買いましたか。,パン,クロワッサン,果物,ケーキ,クロワッサン
今日は晴れです。だから、私はジュースを飲みました。,私は何を飲みましたか。,牛乳,ジュース,水,紅茶,ジュース
弟は毎日八時に勉強します。でも昨日は九時にしました。,弟は昨日いつ勉強しましたか。,七時,八時,九時,十時,九時
私は昨日友達とレストランで昼ご飯を食べました。,私はどこで昼ご飯を食べましたか。,図書館,家,レストラン,学校,レストラン
山田さんは昨日本屋で雑誌を買いました。,山田さんは何を買いましたか。,ノート,雑誌,靴,果物,雑誌
今日はとても暑いです。だから、私は冷たい水を飲みました。,私は何を飲みましたか。,水,牛乳,紅茶,アイスティー,水
私はおととい父とスーパーへ行きました。,私は誰と行きましたか。,友達,父,姉,先生,父
川上さんは毎朝五時に走ります。でも今日は四時半に走りました。,川上さんは今日はいつ走りましたか。,五時,六時,四時半,八時,四時半
私は昨日、友達と学校で宿題をしました。,私はどこで宿題をしましたか。,公園,図書館,学校,家,学校
今日は雨です。だから、私はあたたかいスープを飲みました。,私は何を飲みましたか。,コーヒー,スープ,牛乳,水,スープ
私は一昨日、姉とデパートでシャツを買いました。,私は何を買いましたか。,帽子,靴,シャツ,雑誌,シャツ
山本さんは今晩音楽を聞くつもりです。,山本さんは今晩何をしますか。,料理をします,寝ます,音楽を聞きます,仕事をします,音楽を聞きます
今日は寒いです。だから、私はホットコーヒーを飲みました。,私は何を飲みましたか。,牛乳,ホットコーヒー,紅茶,水,ホットコーヒー
私は一昨日、母と市場へ行きました。,私はどこへ行きましたか。,家,学校,市場,公園,市場
弟は昨日パン屋でメロンパンを買いました。,弟は何を買いましたか。,果物,メロンパン,ケーキ,雑誌,メロンパン
今日は風が強いです。だから、私はミルクティーを飲みました。,私は何を飲みましたか。,お茶,水,ミルクティー,牛乳,ミルクティー
私は昨日友達とカラオケへ行きました。,私はどこへ行きましたか。,学校,カラオケ,家,公園,カラオケ
加藤さんは毎日七時に出かけます。でも今日は七時半に出かけました。,加藤さんは今日はいつ出かけましたか。,七時,七時半,六時,八時,七時半
今日は暑いです。だから、私はレモン水を飲みました。,私は何を飲みましたか。,水,レモン水,牛乳,紅茶,レモン水
私は先日、父と公園で写真を撮りました。,私はどこで写真を撮りましたか。,家,駅,公園,図書館,公園
妹は昨日スーパーでチョコレートを買いました。,妹は何を買いましたか。,チョコレート,果物,雑誌,パン,チョコレート
今日は涼しいです。だから、私はホットティーを飲みました。,私は何を飲みましたか。,牛乳,水,ホットティー,コーヒー,ホットティー
私は先日友達と喫茶店へ行きました。,私はどこへ行きましたか。,家,喫茶店,学校,プール,喫茶店
兄は昨日駅で友達を待ちました。,兄はどこで友達を待ちましたか。,学校,駅,家,公園,駅
今日は雨です。だから、私はカフェラテを飲みました。,私は何を飲みましたか。,お茶,カフェラテ,水,牛乳,カフェラテ
私は昨日図書館で英語の本を借りました。,私は何を借りましたか。,英語の本,雑誌,新聞,ノート,英語の本
田中さんはおととい友達とプールへ行きました。,田中さんはどこへ行きましたか。,図書館,プール,家,駅,プール
私は今日スーパーでバナナを買いました。,私は何を買いましたか。,パン,果物,バナナ,水,バナナ
