品詞,word,meaning
名詞,妹,여동생
名詞,兄,형/오빠
名詞,姉,누나/언니
名詞,母,어머니
名詞,父,아버지
名詞,友達,친구
名詞,先生,선생님
名詞,田中さん,다나카 씨
名詞,佐藤さん,사토 씨
名詞,山田さん,야마다 씨
名詞,スーパー,슈퍼마켓
名詞,公園,공원
名詞,図書館,도서관
名詞,カフェ,카페
名詞,喫茶店,다방/찻집
名詞,映画館,영화관
名詞,学校,학교
名詞,パン屋,빵집
名詞,デパート,백화점
名詞,市場,시장
名詞,駅,역
名詞,動物園,동물원
名詞,海,바다
名詞,プール,수영장
名詞,家,집
名詞,りんご,사과
名詞,肉,고기
名詞,パン,빵
名詞,ケーキ,케이크
名詞,サンドイッチ,샌드위치
名詞,クロワッサン,크루아상
名詞,チョコレート,초콜릿
名詞,メロンパン,멜론빵
名詞,果物,과일
名詞,帽子,모자
名詞,ノート,노트
名詞,雑誌,잡지
名詞,新聞,신문
名詞,水,물
名詞,コーヒー,커피
名詞,アイスティー,아이스티
名詞,ジュース,주스
名詞,ホットミルク,따뜻한 우유
名詞,ミルクティー,밀크티
名詞,スープ,수프
名詞,昨日,어제
名詞,今日,오늘
名詞,一昨日,그저께
名詞,先週,지난주
名詞,今晩,오늘 밤
名詞,金曜日,금요일
名詞,水曜日,수요일
名詞,日曜日,일요일
名詞,先日,지난번
名詞,毎日,매일
名詞,七時,7시
名詞,八時,8시
名詞,九時,9시
名詞,十時,10시
名詞,七時半,7시 반
名詞,晩ご飯,저녁식사
名詞,昼ご飯,점심식사
名詞,写真,사진
名詞,英語の本,영어책
名詞,シャツ,셔츠
名詞,晴れ,맑음
名詞,雨,비
名詞,映画,영화
名詞,音楽,음악
名詞,風,바람
名詞,朝,아침
名詞,上,위
名詞,お金,돈
名詞,外国,외국
名詞,国,나라
名詞,車,자동차
名詞,午後,오후
名詞,今月,이번 달
名詞,魚,생선
名詞,四月,4월
名詞,下,아래
名詞,七月,7월
名詞,千円,1000엔
名詞,外,밖
名詞,空,하늘
名詞,大学,대학
名詞,手,손
名詞,電話,전화
名詞,十日,10일
名詞,中,안/속
名詞,花,꽃
名詞,人,사람
名詞,本,책
名詞,前,앞
名詞,右,오른쪽
名詞,店,가게
名詞,道,길
名詞,木曜日,목요일
名詞,山,산
名詞,来週,다음 주
名詞,会社,회사
名詞,カメラ,카메라
名詞,子ども,아이
名詞,今週,이번 주
名詞,時間,시간
名詞,タクシー,택시
名詞,電車,전철
名詞,名前,이름
名詞,六日,6일
名詞,レストラン,레스토랑
名詞,あした,내일
名詞,アパート,아파트
名詞,きっぷ,티켓
名詞,こうえん,공원
名詞,こうちゃ,홍차
名詞,いつつ,다섯 개
名詞,いぬ,개
名詞,おととし,재작년
名詞,スカート,치마
名詞,セーター,스웨터
名詞,ピアノ,피아노
名詞,ふつか,2일
名詞,ぼうし,모자
名詞,ほんや,서점
名詞,まいしゅう,매주
名詞,みち,길
名詞,ようか,8일
動詞,起きる,일어나다
動詞,行く,가다
動詞,食べる,먹다
動詞,飲む,마시다
動詞,買う,사다
動詞,する,하다
動詞,見る,보다
動詞,待つ,기다리다
動詞,読む,읽다
動詞,走る,달리다
動詞,借りる,빌리다
動詞,撮る,찍다
動詞,ある,있다(무생물)
動詞,いる,있다(생물)
動詞,出かける,외출하다
動詞,散歩する,산책하다
動詞,勉強する,공부하다
動詞,料理する,요리하다
動詞,寝る,자다
動詞,掃除する,청소하다
動詞,宿題をする,숙제하다
動詞,聞く,듣다
動詞,会う,만나다
動詞,言う,말하다
動詞,生まれる,태어나다
動詞,出す,내다
動詞,出る,나가다/나오다
動詞,入る,들어가다
動詞,見せる,보여주다
動詞,来る,오다
動詞,書く,쓰다
動詞,あそぶ,놀다
動詞,あらう,씻다
動詞,おりる,내리다
動詞,かぶる,모자를 쓰다
動詞,きる,자르다
動詞,しつもんする,질문하다
動詞,しめる,닫다
動詞,シャワーをあびる,샤워하다
動詞,あるく,걷다
動詞,いれる,넣다
動詞,えらぶ,고르다
動詞,おふろにはいる,목욕하다
動詞,おぼえる,기억하다
動詞,およぐ,헤엄치다
動詞,とまる,멈추다
動詞,とる,잡다
動詞,とる,찍다
動詞,ならう,배우다
動詞,のぼる,오르다
動詞,のむ,마시다
動詞,のる,타다
動詞,はく,신다/입다
動詞,つかれる,피곤하다
動詞,つく,켜지다
動詞,わすれる,잊다
動詞,わたす,건네다
動詞,わたる,건너다
動詞,はる,붙이다
動詞,ふく,불다
動詞,まがる,돌다
形容詞,暑い,덥다
形容詞,寒い,춥다
形容詞,涼しい,시원하다
形容詞,楽しい,즐겁다
形容詞,強い,강하다
形容詞,赤い,빨갛다
形容詞,大きい,크다
形容詞,小さい,작다
形容詞,高い,비싸다/높다
形容詞,白い,하얗다
形容詞,古い,오래되다
形容詞,安い,싸다
形容詞,新しい,새롭다
形容詞,多い,많다
形容詞,あたたかい,따뜻하다
形容詞,あまい,달다
形容詞,きたない,더럽다
形容詞,おいしい,맛있다
形容詞,おもい,무겁다
形容詞,おもしろい,재미있다
形容詞,とおい,멀다
形容詞,ちかい,가깝다
形容詞,つよい,강하다
形容詞,つめたい,차갑다
形容詞,わかい,젊다
形容動詞,静かだ,조용하다
形容動詞,有名だ,유명하다
形容動詞,じょうずだ,능숙하다
形容動詞,すきだ,좋아하다
形容動詞,だいじょうぶだ,괜찮다
形容動詞,たいせつだ,중요하다
形容動詞,べんりだ,편리하다
副詞,早く,빨리
副詞,遅く,늦게
副詞,ときどき,때때로
副詞,たくさん,많이
副詞,たぶん,아마
副詞,ちょうど,정확히
副詞,また,또
副詞,もっと,더
表現,ごちそうさま,잘 먹었습니다
表現,こちらこそ,저야말로
接続詞,でも,하지만
表現,どういたしまして,천만에요
表現,どうぞよろしく,잘 부탁합니다
表現,しんぶんをよむ,신문을 읽다
接続詞,それでは,그럼
表現,べんきょうがしたい,공부하고 싶다
